well,rows,rmse,mae,bias,baseline_rmse,geometry_rmse,rmse_improvement_vs_baseline,rmse_improvement_vs_geometry,learned_alpha,oracle_alpha
67847288,7429,22.982696076777138,21.31957801831502,21.31957801831502,95.59489012383982,13.368028792573009,72.61219404706267,-9.61466728420413,0.8731282424431248,1.0
353e5502,6062,22.94804625985052,20.598627825615736,20.598627825615736,173.10415708118762,6.175318523256742,150.1561108213371,-16.77272773659378,0.8823108045213208,1.0
9d4272e3,4030,22.890046861066935,20.9953794405653,-20.99241240114164,40.58660224908372,18.51124037979042,17.696555388016783,-4.378806481276516,0.7992852656169521,1.0
b4d8dd4f,4259,22.88879296309181,15.035855859274278,-8.80511180350873,58.52280629324976,17.644297039262923,35.63401333015795,-5.244495923828886,0.8181939281796847,1.0
2d196986,6474,22.880685911928737,19.32155015963591,19.242935362852815,86.03046371643272,13.046705300239859,63.149777804503984,-9.833980611688878,0.8624948082907211,1.0
e3b34f5b,5455,22.766856650611945,18.967920177547075,16.958411134467383,71.81685897205625,13.414892069635018,49.05000232144431,-9.351964580976928,0.8333850716145028,1.0
77b0d905,4174,22.59603811347191,21.29459618862386,-21.29213089506033,60.28815568473914,13.809265882984608,37.69211757126723,-8.786772230487301,0.8065290459468321,1.0
84c3b497,5312,22.4264443790806,15.780844914880328,-11.210573336067965,46.63169729189504,19.37029925549715,24.205252912814437,-3.0561451235834483,0.8691214851186444,1.0
884ecb5f,6724,22.34683998951168,20.374090068683373,-20.167604062069632,284.8971542077089,22.34683998951168,262.55031421819723,0.0,1.0,1.0
7a5660b0,4998,22.32947612876377,20.523506822124823,20.523506822124823,41.846054742967794,12.647398454963454,19.516578614204025,-9.682077673800315,0.6632593793043972,1.0
bc4381e2,4955,22.3067216244521,20.5551946166004,-20.541350071912152,68.87118201842631,13.869935536586558,46.564460393974215,-8.43678608786554,0.8426521468740478,1.0
9df1b1f9,4701,22.29961873871754,20.93817712495936,-20.64247833303116,119.58083325105746,14.399969312009008,97.28121451233991,-7.8996494267085335,0.9218289331783662,1.0
0dc5e64d,4879,22.25214361728768,14.717821547441154,-13.829547952530197,68.89264146722431,16.531448395679888,46.64049784993663,-5.720695221607791,0.8570944488955896,1.0
69c1bdad,2714,22.247592516115095,18.50008638955472,-16.1862092313054,95.82857943912303,10.154195996162851,73.58098692300794,-12.093396519952243,0.8193216839473545,1.0
8d5d46d7,5755,22.213534267887056,20.890248479748767,-20.79311568346102,45.01789089522701,14.149709034131945,22.804356627339956,-8.06382523375511,0.7226909212047617,1.0
1550491d,4563,22.20984020121915,21.042769698375412,21.042769698375412,21.167156242041475,22.68925663500651,-1.0426839591776762,0.4794164337873603,0.6897434237668789,0.0
53f23031,8550,22.12731741957986,18.855039550727348,-18.855039550727348,59.428792403884536,10.48727100478658,37.301474984304676,-11.64004641479328,0.7575535956491674,1.0
a87433c9,5721,22.10755791637013,20.2933680363339,20.2933680363339,40.7316327589151,14.481573849839304,18.624074842544967,-7.625984066530826,0.6977666109203075,1.0
ebe69318,4976,22.08809236762002,19.8957187645883,19.62066690671396,84.83897460847714,4.514142656093942,62.75088224085712,-17.57394971152608,0.7607721483232083,1.0
c42fe306,5095,21.797392598903674,16.262143489976424,-15.422492093954666,68.48244672681204,12.401385165368708,46.68505412790837,-9.396007433534965,0.819521409174451,1.0
122bd617,4570,21.748986551044396,18.65403777248362,15.251300702721213,101.83059618522394,10.603670644033075,80.08160963417954,-11.145315907011321,0.7955622537845848,1.0
3584a6eb,4494,21.66703081532028,19.279904233027292,19.279904233027292,60.83308024903477,10.470807253166916,39.16604943371449,-11.196223562153365,0.7759157662085332,1.0
fae0c593,4403,21.528204300916883,19.341040789927337,-12.014034943000365,105.62636305429199,12.390689968411012,84.0981587533751,-9.137514332505871,0.871727713369651,1.0
